age,educ,pct_male,prior_crime_incidence,military,armed_robberies,homicides
48.857143,10.428572,0.57142854,1,0,0,0
53,8.75,0.5,2,1,0,0
45.42857,8.857142,0.14285713,1,1,0,0
51.75,9.25,0,1,0,0,0
42.857143,11,0.4285714,1,0,0,0
38,11.333333,0.3333333,1,0,0,0
49.75,8.75,0.5,1,1,0,0
65.71429,10.857142,0.71428573,1,0,0,0
48.57143,13.142858,0.14285713,1,1,0,0
44.4,10.8,0.6,1,0,0,0
41.857143,9,0.28571427,1,1,0,0
47.57143,8.142858,0.28571427,1,0,0,0
46.714287,11.571428,0.57142854,6,1,0,1
NA,NA,NA,1,0,0,0
59.142857,10.428572,0.28571427,1,0,0,0
53.57143,12.428572,0.14285713,3,0,0,0
57.142857,8.571428,0.4285714,2,1,0,0
56.285713,11.714286,0.28571427,1,1,0,0
46.42857,11.714286,0.28571427,1,0,0,0
50.5,12.75,0.5,1,0,0,0
33,10,0.5,1,0,0,0
54.857143,8.714286,0.28571427,1,0,0,0
54.714287,9.857142,0.14285713,1,0,0,0
45.42857,12.714286,0.57142854,3,1,0,0
41.57143,11.142858,0.14285713,1,0,0,0
51.42857,9.285714,0.71428573,7,1,0,1
53.42857,10.714286,0.14285713,1,0,0,0
35.333332,13.666667,0.6666666,1,1,0,0
40.857143,11,0.14285713,1,0,0,0
47.57143,9.142858,0,3,0,0,0
46.285713,9.714286,0.28571427,3,0,0,0
NA,NA,NA,1,1,0,0
54.57143,6.285714,0,1,1,0,0
47,11,0.57142854,2,1,0,0
53.42857,10.142858,0.28571427,3,1,0,1
42.42857,12.142858,0.28571427,1,1,0,0
44.142857,11.857142,0.14285713,2,1,0,1
45.857143,9.714286,0.28571427,2,1,0,1
47.285713,11.428572,0.57142854,1,1,0,0
33.714287,11.142858,0.28571427,1,1,0,0
46.42857,11.428572,0.28571427,3,1,0,0
43,12.142858,0.57142854,1,0,0,0
37.285713,12.285714,0.4285714,1,0,0,0
46.714287,9.571428,0.28571427,1,1,0,0
46.857143,12.142858,0.28571427,2,1,1,0
44.42857,12.714286,0.4285714,1,1,0,0
49.857143,10,0,1,0,0,0
50.142857,7.714286,0.28571427,2,0,0,0
36.42857,10.857142,0.57142854,1,0,0,0
44.285713,8,0.14285713,1,1,0,0
51.857143,9.285714,0.28571427,1,0,1,0
38.6,12.6,0,1,0,0,0
39.25,13.75,0,1,0,0,0
34.285713,11,0.28571427,1,1,0,0
39.857143,6.571429,0.4285714,1,0,0,0
44,6.6,0.39999998,1,0,0,0
42.4,9.6,0.19999999,1,0,0,0
43.57143,11.571428,0.14285713,1,0,0,0
47.57143,10.142858,0.57142854,3,1,0,0
45,10.375,0.125,1,1,0,0
51.5,12.25,0.5,1,1,0,0
41.625,11.625,0.375,1,0,0,0
NA,NA,NA,1,0,0,0
43.142857,12.285714,0,3,0,0,0
59.714287,11.428572,0.4285714,1,0,0,0
52.166668,9.833333,0.3333333,1,1,0,0
49,10,0.14285713,1,1,0,0
62.333332,12,0.6666666,1,0,0,0
70.666664,10,0.3333333,1,0,0,0
54.857143,12.714286,0.28571427,3,1,0,0
NA,NA,NA,3,0,0,0
39.285713,12,0.4285714,1,0,0,0
43.42857,15,0.28571427,3,0,0,0
NA,NA,NA,1,0,0,0
34,13.8,0.19999999,1,0,0,0
49.42857,10.571428,0.28571427,1,0,0,0
40,12.714286,0.4285714,1,0,0,0
49,12.857142,0.28571427,1,0,0,0
37.714287,12.571428,0.14285713,1,1,0,0
39.42857,10.285714,0.4285714,3,0,0,0
61,7,0.6666666,1,1,0,0
NA,NA,NA,2,0,0,0
55.857143,13.285714,0.28571427,1,0,0,0
46.4,8.8,0.39999998,1,1,0,0
