"","drafted","lottery","predraft_colprep","predraft_voted_1968","predraft_ideology_index","postwar_support_us_intervention"
"487",0,205,0,0,0.25,"Yes"
"488",0,235,1,0,0.25,"No"
"489",0,227,0,1,0.5,"Yes"
"490",0,36,1,1,0.5,"No"
"491",0,291,1,1,0.375,"Yes"
"492",0,353,1,1,0.25,"Yes"
"493",1,183,0,1,0.375,"Yes"
"494",0,204,1,1,0.375,"Yes"
"495",0,4,1,1,0,"Yes"
"496",0,363,0,NA,0,"Yes"
"497",0,304,0,1,0.375,"Yes"
"498",0,293,0,0,0,"Yes"
"499",0,31,1,NA,0.375,"Yes"
"500",0,259,1,0,0.333333343267441,"Yes"
"501",1,307,1,1,0.375,"Yes"
"502",0,345,1,0,0.25,"Yes"
"503",0,246,0,1,0.375,"Yes"
"504",0,319,0,1,0.625,"No"
"505",0,301,0,0,0.375,"No"
"506",0,265,1,1,0.375,"Yes"
"507",0,225,1,NA,0.25,"Yes"
"508",0,44,1,1,0.125,"Yes"
"509",0,73,1,1,0.5,"Yes"
"510",0,127,1,1,0.375,"No"
"511",0,333,0,0,0,"Yes"
"512",0,60,1,0,0.666666686534882,"No"
"513",0,156,1,0,0.833333313465118,"Yes"
"514",0,208,0,0,0.666666686534882,"No"
"515",1,18,0,0,0.16666667163372,"Yes"
"516",0,301,0,1,0.25,"No"
"517",0,146,1,1,0.25,"Yes"
"518",0,205,0,NA,0.16666667163372,"No"
"519",1,77,0,1,0.375,"Yes"
"520",0,253,0,1,0.16666667163372,"Yes"
"521",0,266,0,0,0.375,"No"
"522",0,63,1,0,0.25,"No"
"523",0,235,0,1,0.375,"No"
"524",0,249,0,NA,0.375,"No"
"525",0,250,0,1,0,"Yes"
"526",0,356,1,1,0,"Yes"
"527",0,238,0,0,0.25,"No"
"528",1,101,0,1,0.16666667163372,"Yes"
"529",0,30,1,1,0.375,"Yes"
"530",0,257,0,1,0.25,"Yes"
"531",1,27,0,0,0.375,"Yes"
"532",0,280,0,1,0.125,"No"
"533",1,80,1,0,0,"Yes"
"534",1,24,0,0,1,"Yes"
"535",0,251,0,0,0.625,"No"
"536",0,191,1,1,0.25,"Yes"
"537",0,221,0,1,0.375,"No"
"538",0,114,1,NA,0.5,"No"
"539",0,359,1,NA,0.375,"No"
"540",1,231,1,1,0.333333343267441,"Yes"
"541",0,262,0,0,0.25,"Yes"
"542",0,334,0,NA,0.125,"Yes"
"543",0,32,1,0,0.375,"No"
"544",0,73,1,0,0.5,"Yes"
"545",0,297,1,1,0,"Yes"
"546",0,203,1,NA,0.25,"Yes"
"547",0,36,1,1,0.333333343267441,"Yes"
"548",0,114,1,1,0.625,"No"
"549",0,257,1,1,0.5,"Yes"
"550",0,347,0,0,0.25,"Yes"
"551",0,253,1,0,0.375,"No"
"552",0,58,1,1,0.375,"Yes"
"553",0,158,1,0,NA,"Yes"
"554",0,337,0,NA,0.16666667163372,"Yes"
"555",0,287,0,0,0.625,"Yes"
"556",0,261,1,1,0.25,"No"
"557",0,313,1,0,0.125,"Yes"
"558",0,282,0,1,0.16666667163372,"No"
"559",0,49,1,0,0.25,"No"
"560",0,1,1,1,0.125,"No"
"561",0,198,0,0,0.375,"No"
"562",1,163,0,0,0.125,"Yes"
"563",0,255,1,1,0.5,"No"
"564",0,215,1,NA,0.125,"No"
"565",0,205,0,NA,0.375,"No"
"566",0,344,0,1,0.5,"No"
"567",0,310,0,0,0.16666667163372,"No"
